calorie		caffeine	sodium 		price
  207.20	    3.30	   15.50	    2.80
   36.80	    5.90	   12.90	    3.30
   72.20	    7.30	    8.20	    2.40
   36.70	     .40	   10.50	    4.00
  121.70	    4.10	    9.20	    3.50
   89.10	    4.00	   10.20	    3.30
  146.70	    4.30	    9.70	    1.80
   57.60	    2.20	   13.60	    2.10
   95.90	     .00	    8.50	    1.30
  199.00	     .00	   10.60	    3.50
   49.80	    8.00	    6.30	    3.70
   16.60	    4.70	    6.30	    1.50
   38.50	    3.70	    7.70	    2.00
     .00	    4.20	   13.10	    2.20
  118.80	    4.70	    7.20	    4.10
  107.00	     .00	    8.30	    4.20
